training_run,model_name,real_interventions,drive,elva_mae,elva_whiteness,elva_expert_whiteness,val_mae,model_type,vista_interventions,traj_mae,traj_rmse,traj_max,traj_failure_rate,distance,distance_per_intervention,whiteness,cmd_whiteness,expert_whiteness
1t7d1afv,classifier-256,11,"('2022-08-31-16-00-20_elva_classifier_256_front', '2022-08-31-16-11-28_elva_classifier_256_back')",9.254922268131695,328.10369873046875,17.679367742783565,10.058057300875063,pilotnet-classifier,32.0,0.5036798869360456,0.6181345036129512,1.7188930390366615,10.127218646470705,8322.85965717362,756.6236051976018,44.207556473137345,245.9054791544963,17.655093527296977
2faagb62,classifier-128,12,"('2022-08-31-16-53-38_elva_classifier_128_front', '2022-08-31-17-04-28_elva_classifier_128_back')",9.554240787005408,284.54840087890625,17.679367742783565,9.856725207852776,pilotnet-classifier,22.0,0.49008324527007086,0.5917568856323501,1.7182298538622414,8.440582995118632,8313.78076286448,692.81506357204,46.809139458996086,227.61827386267694,17.655093527296977
3ftnqxcb,ebm-512-s1,5,"('2022-09-02-11-04-39_elva_ebm_512_s1_rep1',)",7.487386374941065,191.0606384277344,17.679367742783565,8.607146266277077,pilotnet-ebm,1.0,0.47228670057090294,0.591786817144391,1.7120257893448327,8.80531989832618,8502.157937909298,1700.4315875818597,62.43189193989414,282.4435976049896,17.655093527296977
3ftnqxcb,ebm-512-s1,3,"('2022-09-02-11-27-02_elva_ebm_512_s1_rep2',)",7.487386374941065,191.0606384277344,17.679367742783565,8.607146266277077,pilotnet-ebm,1.0,0.4683271843515675,0.582435691425331,1.7161884049629343,8.453934598133031,8532.701586219038,2844.233862073013,47.421338127017926,186.5383158802601,17.655093527296977
3ftnqxcb,ebm-512-s1,5,"('2022-09-02-11-48-55_elva_ebm_512_s1_rep3',)",7.487386374941065,191.0606384277344,17.679367742783565,8.607146266277077,pilotnet-ebm,1.0,0.5316975825292305,0.6410411632807198,1.6447484380413762,11.555553124845805,8537.731918700367,1707.5463837400735,47.474344205878396,212.10496621581837,17.655093527296977
3ftnqxcb,ebm-512-s1,5,"('2022-09-08-10-13-30_ebm-512-s1',)",7.487386374941065,191.0606384277344,17.679367742783565,8.607146266277077,pilotnet-ebm,1.0,0.4825482443190283,0.596177873885302,1.70373512982,9.19497768278626,8465.096869781537,1693.0193739563074,39.749670096407726,219.42072951431788,17.655093527296977
3dke382l,ebm-512-s2,8,"('2022-09-08-10-38-33_ebm_512_s2',)",8.032544369118327,236.1329345703125,17.679367742783565,9.021556181778696,pilotnet-ebm,44.0,0.5125586819379865,0.6318100695259559,1.7168862964561067,11.942881361562176,8447.418072426237,1055.9272590532796,38.45147118321523,236.49552743994516,17.655093527296977
kozacohh,ebm-512-s3,8,"('2022-09-08-11-01-21_ebm-512-s3',)",7.782473950743047,176.7531280517578,17.679367742783565,8.763484877705908,pilotnet-ebm,6.0,0.4785027425890225,0.5835478558618143,1.7199532845935241,8.52609516536888,8393.94177743392,1049.24272217924,40.09802088739746,208.15903039534697,17.655093527296977
13nkhdy1,mae-s1,19,"('2022-09-02-09-54-31_elva_mae_s1_rep1',)",8.258923134682012,64.583984375,17.679367742783565,8.128144194638326,pilotnet,21.0,0.4281613830236456,0.5386624147690884,1.679530856025651,5.94484132985007,8247.171036190151,434.06163348369216,78.10047000513151,145.2678547984679,17.655093527296977
13nkhdy1,mae-s1,12,"('2022-09-02-10-20-29_elva_mae_s1_rep2',)",8.258923134682012,64.583984375,17.679367742783565,8.128144194638326,pilotnet,21.0,0.4102893645624336,0.5348853149106005,1.7164671105544902,6.912802842461227,8392.86160958435,699.4051341320292,49.18151424479147,85.96774481435321,17.655093527296977
